paper_id,title,source,published,authors,categories,hf_papers_url,arxiv_url,local_pdf,principal_argument,methodology,main_findings,limitations_or_gaps,future_opportunities,notes
2604.01349,PI-JEPA: Label-Free Surrogate Pretraining for Coupled Multiphysics Simulation via Operator-Split Latent Prediction,arxiv,2026-04-01T20:02:56Z,Brandon Yee; Pairie Koh,cs.LG; cs.CE; physics.comp-ph,https://huggingface.co/papers/2604.01349,https://arxiv.org/abs/2604.01349,/root/workspace/jepa/pdfs/2604.01349.pdf,Label-free pretraining on unlabeled reservoir parameter fields can substantially reduce the labeled simulation budget for multiphysics neural surrogates.,"PI-JEPA uses masked latent prediction on unlabeled parameter fields with per-sub-operator PDE residual regularization, with a predictor bank aligned to Lie-Trotter operator splitting and separate latent modules for pressure, saturation transport, and reaction before fine-tuning on limited labeled runs.","On single-phase Darcy flow, PI-JEPA reports 1.9x lower error than FNO and 2.4x lower error than DeepONet at 100 labeled runs, plus a 24% gain over supervised-only training at 500 labeled runs.","The abstract-level evidence is centered on single-phase Darcy flow and low-label fine-tuning settings, so broader multiphysics generalization is not established here.",Test the pretraining scheme on broader multiphysics operators and more realistic reservoir simulation settings.,abstract-level synthesis
2604.00383,Mine-JEPA: In-Domain Self-Supervised Learning for Mine-Like Object Classification in Side-Scan Sonar,arxiv,2026-04-01T02:08:07Z,Taeyoun Kwon; Youngwon Choi; Hyeonyu Kim; Myeongkyun Cho; Junhyeok Choi; Moon Hwan Kim,cs.CV,https://huggingface.co/papers/2604.00383,https://arxiv.org/abs/2604.00383,/root/workspace/jepa/pdfs/2604.00383.pdf,Carefully designed in-domain self-supervised learning can outperform far larger general-purpose vision foundation models for side-scan sonar mine classification under data scarcity.,"Mine-JEPA pretrains with the SIGReg self-supervised loss on 1,170 unlabeled sonar images, then evaluates binary and 3-class mine-like object classification, including a compact ViT-Tiny setting and synthetic data augmentation.","The method reaches F1 0.935 for mine vs. non-mine and 0.820 for 3-class classification with augmentation, outperforming fine-tuned DINOv3 in both settings; applying in-domain SSL to foundation models degrades performance by 10 to 13 points, and the compact backbone remains competitive with 4x fewer parameters.",The summary is limited to side-scan sonar classification with a small unlabeled corpus and binary/3-class tasks.,Evaluate the approach on broader sonar datasets and clarify when domain adaptation helps or harms stronger pretrained models.,abstract-level synthesis
2603.29796,JEPA-MSAC: A Joint-Embedding Predictive Architecture for Multimodal Sensing-Assisted Communications,arxiv,2026-03-31T14:29:42Z,Can Zheng; Jiguang He; Guofa Cai; Nannan Li; Mehdi Bennis; Henk Wymeersch; Merouane Debbah,eess.SP,https://huggingface.co/papers/2603.29796,https://arxiv.org/abs/2603.29796,/root/workspace/jepa/pdfs/2603.29796.pdf,A shared self-supervised multimodal predictive backbone can support several wireless PHY tasks with lower adaptation cost than task-specific supervised pipelines.,"JEPA-MSAC maps multimodal sensing and communication measurements into a unified token space, pretrains a shared backbone with temporal block-masked JEPA, then freezes that backbone and trains lightweight heads for localization, beam prediction, and RSSI prediction.","The learned latent state supports accurate multi-task prediction with low adaptation cost, and ablations highlight scaling behavior and the effect of key pretraining choices.",The abstract does not provide headline numerical gains and focuses on a specific set of wireless prediction tasks.,"Extend the framework to more sensing modalities, communication settings, and downstream PHY tasks.",abstract-level synthesis
2603.24327,Le MuMo JEPA: Multi-Modal Self-Supervised Representation Learning with Learnable Fusion Tokens,arxiv,2026-03-25T14:09:59Z,Ciem Cornelissen; Sam Leroux; Pieter Simoens,cs.CV,https://huggingface.co/papers/2603.24327,https://arxiv.org/abs/2603.24327,/root/workspace/jepa/pdfs/2603.24327.pdf,Learnable fusion-token bottlenecks can make multimodal JEPA training efficient while preserving strong downstream performance across aligned sensor pairs.,"Le MuMo JEPA extends LeJEPA with modality-specific patch stems, a shared transformer, learnable fusion tokens, pruned fusion after early cross-modal attention, and SIGReg on the joint multimodal CLS embedding; it is tested on RGB-depth and RGB-thermal settings.","The model gives the strongest performance-efficiency trade-off among from-scratch multimodal baselines on Waymo, remains strongest under from-scratch training on nuScenes, and achieves the best FLIR results, especially after Waymo-initialized fine-tuning, while using less compute and memory.","The demonstrated scope is aligned RGB-depth and RGB-thermal perception benchmarks, so broader modality mixes are not covered in the summary.",Apply the fusion-token design to additional sensor combinations and transfer settings beyond driving benchmarks.,abstract-level synthesis
2603.20111,Var-JEPA: A Variational Formulation of the Joint-Embedding Predictive Architecture -- Bridging Predictive and Generative Self-Supervised Learning,arxiv,2026-03-20T16:36:29Z,Moritz Gögl; Christopher Yau,cs.LG; cs.AI,https://huggingface.co/papers/2603.20111,https://arxiv.org/abs/2603.20111,/root/workspace/jepa/pdfs/2603.20111.pdf,"JEPA can be cast as a variational latent-variable model, and making that structure explicit yields a more principled predictive self-supervised objective with uncertainty estimates.","Var-JEPA derives a single-ELBO formulation from coupled latent-variable models, replacing heuristic anti-collapse regularization with an explicit variational objective; the paper instantiates this as Var-T-JEPA for tabular data.","The framework produces meaningful representations without ad hoc anti-collapse regularizers, enables principled latent uncertainty quantification, and consistently improves over T-JEPA on tabular tasks while staying competitive with strong raw-feature baselines.","The abstracted evidence is for tabular data, so effectiveness on vision, audio, or video settings is not established here.",Extend the variational JEPA formulation to other modalities and study uncertainty-aware downstream uses.,abstract-level synthesis
2603.14482,V-JEPA 2.1: Unlocking Dense Features in Video Self-Supervised Learning,huggingface_papers;arxiv,2026-03-15T17:02:40Z,Lorenzo Mur-Labadia; Matthew Muckley; Amir Bar; Mido Assran; Koustuv Sinha; Mike Rabbat; Yann LeCun; Nicolas Ballas; Adrien Bardes,cs.CV,https://huggingface.co/papers/2603.14482,https://arxiv.org/abs/2603.14482,/root/workspace/jepa/pdfs/2603.14482.pdf,"Dense predictive objectives, hierarchical self-supervision, multimodal tokenization, and scale can substantially improve JEPA-style visual world modeling for images and videos.","V-JEPA 2.1 combines a dense masking-based predictive loss over visible and masked tokens, deep supervision across intermediate encoder layers, unified tokenizers for images and videos, and scaling in data and model size.","The model achieves state-of-the-art benchmark results including 7.71 mAP on Ego4D short-term object-interaction anticipation, 40.8 Recall@5 on EPIC-KITCHENS high-level action anticipation, and a 20-point gain in real-robot grasping success over V-JEPA-2 AC, alongside strong navigation, depth, and recognition performance.","The summary emphasizes benchmark wins on the studied image, video, and robotics tasks without detailing failure modes or narrower deployment constraints.","Scale the dense-feature recipe further and apply it to additional embodied, video-understanding, and robot-perception tasks.",abstract-level synthesis
2603.14131,Is the reconstruction loss culprit? An attempt to outperform JEPA,arxiv,2026-03-14T21:39:56Z,Alexey Potapov; Oleg Shcherbakov; Ivan Kravchenko,cs.LG,https://huggingface.co/papers/2603.14131,https://arxiv.org/abs/2603.14131,/root/workspace/jepa/pdfs/2603.14131.pdf,"JEPA may not owe its advantage purely to avoiding reconstruction loss; objective asymmetries and predictable-component selection also matter, and gated predictive autoencoders can surpass it on the studied toy system.","The paper compares JEPA-style predictive learning and reconstruction autoencoders on a controlled linear dynamical-system toy problem, performs diagnostic analyses with PCA baselines, and introduces gated predictive autoencoders that select predictable components.","The apparent JEPA robustness advantage to noise weakens under closer diagnostics, and the proposed gated predictive autoencoder is stable across noise levels while matching or outperforming JEPA on the toy benchmark.",Results are explicitly confined to a toy linear dynamical system rather than real-world high-dimensional datasets.,Test whether the gated predictive-autoencoder idea transfers to more realistic nonlinear representation-learning settings.,abstract-level synthesis
2603.13943,Sat-JEPA-Diff: Bridging Self-Supervised Learning and Generative Diffusion for Remote Sensing,huggingface_papers;arxiv,2026-03-14T13:30:49Z,Kursat Komurcu; Linas Petkevicius,cs.CV; cs.LG,https://huggingface.co/papers/2603.13943,https://arxiv.org/abs/2603.13943,/root/workspace/jepa/pdfs/2603.13943.pdf,Combining JEPA-style semantic prediction with diffusion generation can better balance structural fidelity and texture realism in satellite-image forecasting.,"Sat-JEPA-Diff uses an IJEPA module to predict stable semantic representations and conditions a frozen Stable Diffusion backbone through a lightweight cross-attention adapter, with evaluation on a global Sentinel-2 dataset.","The method produces sharper boundaries, attains leading perceptual scores including GSSIM 0.8984 and FID 0.1475, and outperforms deterministic baselines despite standard autoregressive stability limits.",The reported evidence is tied to Sentinel-2 remote sensing and the summary still notes autoregressive stability limits.,Assess the approach on more remote-sensing regimes and further improve long-horizon stability.,abstract-level synthesis
2603.19312,LeWorldModel: Stable End-to-End Joint-Embedding Predictive Architecture from Pixels,huggingface_papers;arxiv,2026-03-13T19:48:14Z,Lucas Maes; Quentin Le Lidec; Damien Scieur; Yann LeCun; Randall Balestriero,cs.LG; cs.AI,https://huggingface.co/papers/2603.19312,https://arxiv.org/abs/2603.19312,/root/workspace/jepa/pdfs/2603.19312.pdf,"End-to-end JEPA world models can be trained stably from pixels with a very simple objective, avoiding the heavy stabilization machinery used by prior approaches.","LeWorldModel trains from raw pixels using only a next-embedding prediction loss and a Gaussian latent regularizer, with roughly 15M parameters on a single GPU, then evaluates control performance plus physical probing and surprise detection.","The method is presented as the first JEPA to train stably end-to-end from raw pixels with only two loss terms, cuts tunable loss hyperparameters from six to one versus the only existing end-to-end alternative, plans up to 48x faster than foundation-model-based world models, and remains competitive across varied 2D and 3D control tasks.",The abstract-level evidence is centered on control benchmarks and does not establish performance across broader world-modeling domains.,Apply the simplified end-to-end JEPA recipe to additional environments and downstream planning or anomaly-detection settings.,abstract-level synthesis
2603.02263,Social-JEPA: Emergent Geometric Isomorphism,arxiv,2026-02-28T07:54:43Z,Haoran Zhang; Youjin Wang; Yi Duan; Rong Fu; Dianyu Zhao; Sicheng Fan; Shuaishuai Cao; Wentao Guo; Xiao Zhou,cs.CV; cs.AI,https://huggingface.co/papers/2603.02263,https://arxiv.org/abs/2603.02263,/root/workspace/jepa/pdfs/2603.02263.pdf,"Independent agents can learn latent spaces that become approximately isometric when trained predictively on the same world, enabling direct cross-agent transfer.","Separate agents learn world models from different viewpoints without coordination or parameter sharing; the paper then analyzes latent-space geometry, zero-update classifier transfer, and distillation-like migration between agents.","The learned latent spaces exhibit an approximate linear isometry despite large viewpoint shifts and limited pixel overlap, allowing classifier transfer without extra gradient steps and reducing later learning compute through migration.","The setup focuses on agents observing the same environment from different viewpoints, so broader interoperability claims remain limited at the abstract level.","Probe whether the emergent alignment persists across more heterogeneous agents, tasks, and environments.",withdrawn
